"Please be aware that it is not possible to use 
                the gift card you purchased for your own orders.","Please be aware that it is not possible to use 
                the gift card you purchased for your own orders."
"Maximum number of code combinations for the current template achieved is %1","Maximum number of code combinations for the current template achieved is %1"
"Please add {L} or {D} placeholders into the template ""%1""","Please add {L} or {D} placeholders into the template ""%1"""
"Maximum number of code combinations for the current template is %1, 
            please update Quantity field accordingly.","Maximum number of code combinations for the current template is %1, 
            please update Quantity field accordingly."
"Over time, you can generate no more than %1 codes.","Over time, you can generate no more than %1 codes."
Percent,Percent
Fixed,Fixed
Virtual,Virtual
Printed,Printed
Combined,Combined
"Coupon with specified code  ""%1"" not valid.","Coupon with specified code  ""%1"" not valid."
"Cart %1 doesn't contain products","Cart %1 doesn't contain products"
"The uploaded file is not an image.","The uploaded file is not an image."
"Sender name","Sender name"
"Recipient name","Recipient name"
"Delivery date","Delivery date"
"Gift Card message","Gift Card message"
"Something went wrong. Please review the error log.","Something went wrong. Please review the error log."
"An error has occurred while preparing Gift Card.","An error has occurred while preparing Gift Card."
"Gift Card min amount is %1","Gift Card min amount is %1"
"Gift Card max amount is %1","Gift Card max amount is %1"
"Please specify Gift Card Value","Please specify Gift Card Value"
"Please specify all the required information.","Please specify all the required information."
"Please specify %1","Please specify %1"
"This code is used","This code is used"
"Unable to save account with ID %1. Error: %2","Unable to save account with ID %1. Error: %2"
"Unable to save new account. Error: %1","Unable to save new account. Error: %1"
"account with specified ID ""%1"" not found.","account with specified ID ""%1"" not found."
"Unable to remove account with ID %1. Error: %2","Unable to remove account with ID %1. Error: %2"
"Unable to remove account. Error: %1","Unable to remove account. Error: %1"
"Unable to save code with ID %1. Error: %2","Unable to save code with ID %1. Error: %2"
"Unable to save new code. Error: %1","Unable to save new code. Error: %1"
"code with specified ID ""%1"" not found.","code with specified ID ""%1"" not found."
"Coupon with specified code  ""%1"" not found.","Coupon with specified code  ""%1"" not found."
"Unable to remove code with ID %1. Error: %2","Unable to remove code with ID %1. Error: %2"
"Unable to remove code. Error: %1","Unable to remove code. Error: %1"
"Entity with specified Code ""%1"" not found.","Entity with specified Code ""%1"" not found."
"Unable to save codeSet with ID %1. Error: %2","Unable to save codeSet with ID %1. Error: %2"
"Unable to save new codeSet. Error: %1","Unable to save new codeSet. Error: %1"
"codeSet with specified ID ""%1"" not found.","codeSet with specified ID ""%1"" not found."
"Unable to remove codeSet with ID %1. Error: %2","Unable to remove codeSet with ID %1. Error: %2"
"Unable to remove codeSet. Error: %1","Unable to remove codeSet. Error: %1"
"Unable to save customerCard with ID %1. Error: %2","Unable to save customerCard with ID %1. Error: %2"
"Unable to save new customerCard. Error: %1","Unable to save new customerCard. Error: %1"
"customerCard with specified ID ""%1"" not found.","customerCard with specified ID ""%1"" not found."
"Unable to remove customerCard with ID %1. Error: %2","Unable to remove customerCard with ID %1. Error: %2"
"Unable to remove customerCard. Error: %1","Unable to remove customerCard. Error: %1"
"Unable to save image with ID %1. Error: %2","Unable to save image with ID %1. Error: %2"
"Unable to save new image. Error: %1","Unable to save new image. Error: %1"
"image with specified ID ""%1"" not found.","image with specified ID ""%1"" not found."
"Unable to remove image with ID %1. Error: %2","Unable to remove image with ID %1. Error: %2"
"Unable to remove image. Error: %1","Unable to remove image. Error: %1"
"Unable to save quote with ID %1. Error: %2","Unable to save quote with ID %1. Error: %2"
"Unable to save new quote. Error: %1","Unable to save new quote. Error: %1"
"quote with specified ID ""%1"" not found.","quote with specified ID ""%1"" not found."
"Unable to remove quote with ID %1. Error: %2","Unable to remove quote with ID %1. Error: %2"
"Unable to remove quote. Error: %1","Unable to remove quote. Error: %1"
"Entity with specified Quote Id ""%1"" not found.","Entity with specified Quote Id ""%1"" not found."
"All codes already exists","All codes already exists"
"%1 in row %2 ","%1 in row %2 "
"Codes already exists. Duplicate codes:<br /> %1","Codes already exists. Duplicate codes:<br /> %1"
"Please choose a condition to add.","Please choose a condition to add."
"Product attribute combination","Product attribute combination"
"Products subselection","Products subselection"
"Conditions combination","Conditions combination"
GiftCard.png,GiftCard.png
"This gift card account is not active.","This gift card account is not active."
"Gift Card was deleted.","Gift Card was deleted."
"%1 Only %2 accounts were created.","%1 Only %2 accounts were created."
"Not enough free gift card codes in the code pools with id %1. Please generate more codes before invoicing the order.","Not enough free gift card codes in the code pools with id %1. Please generate more codes before invoicing the order."
"From %1","From %1"
"All Store Views","All Store Views"
"Use Config Settings","Use Config Settings"
"All Websites","All Websites"
Amounts,Amounts
Amount,Amount
"Drag me","Drag me"
Apply,Apply
"Remove Gift Cards Code","Remove Gift Cards Code"
Remove,Remove
SKU,SKU
"Status: %1","Status: %1"
"Current Balance: %1","Current Balance: %1"
unlimited,unlimited
"Valid till: %1","Valid till: %1"
"Wrong Gift Card Code.","Wrong Gift Card Code."
"Apply Gift Card Code","Apply Gift Card Code"
"Enter gift card code","Enter gift card code"
"Add Gift Card","Add Gift Card"
"Check Gift Card status","Check Gift Card status"
"Specify Gift Code","Specify Gift Code"
Submit,Submit
"Gift Codes","Gift Codes"
"Code: %1","Code: %1"
"Choose an Amount...","Choose an Amount..."
"Custom Amount","Custom Amount"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Maximum: %1"
"Choose card type","Choose card type"
"-- Please Select --","-- Please Select --"
"Please be aware that printed gift card will be sent to the shipping address you specify during checkout.","Please be aware that printed gift card will be sent to the shipping address you specify during checkout."
"Choose card Image","Choose card Image"
"or upload your image","or upload your image"
Browse,Browse
"Please be aware that delivery date of printed certificates may be different due to post.","Please be aware that delivery date of printed certificates may be different due to post."
"Select timezone","Select timezone"
"Preview Gift Card","Preview Gift Card"
"Gift Card %1 was removed.","Gift Card %1 was removed."
"Provided service call does not exist.","Provided service call does not exist."
Enabled,Enabled
"Product Types, Which Can Be Bought with Gift Card","Product Types, Which Can Be Bought with Gift Card"
"Use a Gift Card to Pay for Shipping","Use a Gift Card to Pay for Shipping"
"Use a Gift Card to Pay for Tax","Use a Gift Card to Pay for Tax"
"Display Options","Display Options"
"Gift Card Fields","Gift Card Fields"
"When disabling certain fields by adjusting corresponding settings in the Gift Card Extension Configuration, do not forget to update your templates for gift card related emails. Otherwise, those unnecessary variables will be included in the body of the sent message and it may cause inconvenience.","When disabling certain fields by adjusting corresponding settings in the Gift Card Extension Configuration, do not forget to update your templates for gift card related emails. Otherwise, those unnecessary variables will be included in the body of the sent message and it may cause inconvenience."
"Show Gift Card Options in Mini Cart And Checkout","Show Gift Card Options in Mini Cart And Checkout"
"Timezones for User Choosing","Timezones for User Choosing"
"Allow Users to Upload Own Images for Gift Card","Allow Users to Upload Own Images for Gift Card"
"Tooltip Message for Users","Tooltip Message for Users"
"Gift Card Options","Gift Card Options"
"Lifetime (days)","Lifetime (days)"
"Allow Customers to Use Gift Cards They Bought for Themselves","Allow Customers to Use Gift Cards They Bought for Themselves"
"Notify Customers Before Certificate Expires","Notify Customers Before Certificate Expires"
"Number of Days Before Expiry","Number of Days Before Expiry"
"When set to 0 (zero), the notification is sent once the certificate expires.","When set to 0 (zero), the notification is sent once the certificate expires."
"Email Options","Email Options"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Send Copy to","Send Copy to"
"Separated by comma","Separated by comma"
"Expiry Notification Email Template","Expiry Notification Email Template"
"Notice of the expiry of the Gift Card","Notice of the expiry of the Gift Card"
"Send Confirmation to Sender","Send Confirmation to Sender"
"Sender Confirmation Email Template","Sender Confirmation Email Template"
"Attach PDF Gift Card to Email","Attach PDF Gift Card to Email"
"Order History","Order History"
"Add New","Add New"
"Delete selected items?","Delete selected items?"
ID,ID
"Gift Code","Gift Code"
"Initial Value","Initial Value"
"Current Value","Current Value"
Order,Order
"Gift Code Pool Title","Gift Code Pool Title"
"Code Pool Template","Code Pool Template"
"Gift Code Qty","Gift Code Qty"
"Unused Gift Codes","Unused Gift Codes"
"Image Thumbnail","Image Thumbnail"
"Image title","Image title"
50,50
